date,apple,samsung,smartphone,isPartial
2018-01-06 12:00:00,34,44,0,False
2018-01-06 13:00:00,32,43,3,False
2018-01-06 14:00:00,23,52,0,False
2018-01-06 15:00:00,22,50,4,False
2018-01-06 16:00:00,24,56,3,False
2018-01-06 17:00:00,30,38,2,False
2018-01-06 18:00:00,22,52,3,False
2018-01-06 19:00:00,27,35,0,False
2018-01-06 20:00:00,25,50,0,False
2018-01-06 21:00:00,23,43,2,False
2018-01-06 22:00:00,24,55,2,False
2018-01-06 23:00:00,31,48,3,False
2018-01-07 00:00:00,26,59,0,False
2018-01-07 01:00:00,12,39,0,False
2018-01-07 02:00:00,0,39,0,False
2018-01-07 03:00:00,44,0,0,False
2018-01-07 04:00:00,57,0,0,False
2018-01-07 05:00:00,0,0,27,False
2018-01-07 06:00:00,34,29,0,False
2018-01-07 07:00:00,18,27,0,False
2018-01-07 08:00:00,21,37,0,False
2018-01-07 09:00:00,29,34,0,False
2018-01-07 10:00:00,21,30,0,False
2018-01-07 11:00:00,24,37,0,False
2018-01-07 12:00:00,26,49,0,False
2018-01-07 13:00:00,19,43,0,False
2018-01-07 14:00:00,26,42,2,False
2018-01-07 15:00:00,18,50,0,False
2018-01-07 16:00:00,30,42,3,False
2018-01-07 17:00:00,23,41,2,False
2018-01-07 18:00:00,30,26,0,False
2018-01-07 19:00:00,19,38,2,False
2018-01-07 20:00:00,15,42,2,False
2018-01-07 21:00:00,22,35,2,False
2018-01-07 22:00:00,25,37,0,False
2018-01-07 23:00:00,24,38,0,False
2018-01-08 00:00:00,26,45,0,False
2018-01-08 00:00:00,22,38,0,False
2018-01-08 01:00:00,35,33,0,False
2018-01-08 02:00:00,18,78,0,False
2018-01-08 03:00:00,0,0,0,False
2018-01-08 04:00:00,0,62,0,False
2018-01-08 05:00:00,0,17,0,False
2018-01-08 06:00:00,10,17,8,False
2018-01-08 07:00:00,12,18,8,False
2018-01-08 08:00:00,16,20,0,False
2018-01-08 09:00:00,14,24,3,False
2018-01-08 10:00:00,13,18,4,False
2018-01-08 11:00:00,20,27,0,False
2018-01-08 12:00:00,16,26,0,False
2018-01-08 13:00:00,16,26,2,False
2018-01-08 14:00:00,18,36,2,False
2018-01-08 15:00:00,17,23,0,False
2018-01-08 16:00:00,17,34,3,False
2018-01-08 17:00:00,16,30,0,False
2018-01-08 18:00:00,25,43,2,False
2018-01-08 19:00:00,18,32,0,False
2018-01-08 20:00:00,19,37,2,False
2018-01-08 21:00:00,16,28,3,False
2018-01-08 22:00:00,12,36,0,False
2018-01-08 23:00:00,18,28,0,False
2018-01-09 00:00:00,15,25,0,False
2018-01-09 01:00:00,0,26,0,False
2018-01-09 02:00:00,44,24,0,False
2018-01-09 03:00:00,0,0,0,False
2018-01-09 04:00:00,0,0,0,False
2018-01-09 05:00:00,0,18,0,False
2018-01-09 06:00:00,11,11,0,False
2018-01-09 07:00:00,10,19,13,False
